Name,Name Link,Volume,Number of media,First defined in,First defined in Link
Main sol. 1647,https://mediadive.dsmz.de/solutions/S3408?p=144,1000 ml,1,Medium 1647,https://mediadive.dsmz.de/medium/1647
Se/W solution,https://mediadive.dsmz.de/solutions/S3409?p=144,1000 ml,1,Medium 1647,https://mediadive.dsmz.de/medium/1647
Main sol. 1649,https://mediadive.dsmz.de/solutions/S3411?p=144,1000 ml,1,Medium 1649,https://mediadive.dsmz.de/medium/1649
Main sol. 1650,https://mediadive.dsmz.de/solutions/S3414?p=144,1000 ml,1,Medium 1650,https://mediadive.dsmz.de/medium/1650
Trace Element Solution,https://mediadive.dsmz.de/solutions/S3415?p=144,1012 ml,1,Medium 1650,https://mediadive.dsmz.de/medium/1650
1M Acetate solution 13.6 g/L,https://mediadive.dsmz.de/solutions/S3417?p=144,1000 ml,1,Medium 1650,https://mediadive.dsmz.de/medium/1650
Bicarbonate solution 84.0 g/L,https://mediadive.dsmz.de/solutions/S3418?p=144,100 ml,1,Medium 1650,https://mediadive.dsmz.de/medium/1650
Vitamin solution,https://mediadive.dsmz.de/solutions/S3419?p=144,1000 ml,1,Medium 1650,https://mediadive.dsmz.de/medium/1650
Main sol. 1651,https://mediadive.dsmz.de/solutions/S3420?p=144,1000 ml,1,Medium 1651,https://mediadive.dsmz.de/medium/1651
Main sol. 1652,https://mediadive.dsmz.de/solutions/S3426?p=144,1000 ml,1,Medium 1652,https://mediadive.dsmz.de/medium/1652
Main sol. 1653,https://mediadive.dsmz.de/solutions/S3427?p=144,1000 ml,1,Medium 1653,https://mediadive.dsmz.de/medium/1653
PO4 buffer,https://mediadive.dsmz.de/solutions/S3428?p=144,1000 ml,1,Medium 1653,https://mediadive.dsmz.de/medium/1653
Vitamin solution,https://mediadive.dsmz.de/solutions/S3430?p=144,1000 ml,1,Medium 1653,https://mediadive.dsmz.de/medium/1653
Main sol. 1654,https://mediadive.dsmz.de/solutions/S3431?p=144,1000 ml,1,Medium 1654,https://mediadive.dsmz.de/medium/1654
Main sol. 1655,https://mediadive.dsmz.de/solutions/S3432?p=145,1000 ml,1,Medium 1655,https://mediadive.dsmz.de/medium/1655
Main sol. 1656,https://mediadive.dsmz.de/solutions/S3435?p=145,1000 ml,1,Medium 1656,https://mediadive.dsmz.de/medium/1656
Basal medium stock solution,https://mediadive.dsmz.de/solutions/S3436?p=145,1000 ml,1,Medium 1656,https://mediadive.dsmz.de/medium/1656
Trace mineral solution,https://mediadive.dsmz.de/solutions/S3437?p=145,1020 ml,1,Medium 1656,https://mediadive.dsmz.de/medium/1656
