Organism Group,Name,Name Link,Taxonomy Link,Growth media,Growth Media Links,External Links
Bacterium,Rhodocyclus tenuis DSM 112,https://mediadive.dsmz.de/strains/view/DSM 112,https://mediadive.dsmz.de/taxonomy?level=species&item=Pararhizobium capsulatum,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-112', 'https://bacdive.dsmz.de/strain/13929']"
Bacterium,Magnetospirillum fulvum DSM 113,https://mediadive.dsmz.de/strains/view/DSM 113,https://mediadive.dsmz.de/taxonomy?level=species&item=Magnetospirillum fulvum,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-113', 'https://bacdive.dsmz.de/strain/13948']"
Bacterium,Magnetospirillum fulvum DSM 114,https://mediadive.dsmz.de/strains/view/DSM 114,https://mediadive.dsmz.de/taxonomy?level=species&item=Magnetospirillum fulvum,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-114', 'https://bacdive.dsmz.de/strain/13949']"
Bacterium,Magnetospirillum fulvum DSM 115,https://mediadive.dsmz.de/strains/view/DSM 115,https://mediadive.dsmz.de/taxonomy?level=species&item=Magnetospirillum fulvum,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-115', 'https://bacdive.dsmz.de/strain/13950']"
Bacterium,Magnetospirillum fulvum DSM 116,https://mediadive.dsmz.de/strains/view/DSM 116,https://mediadive.dsmz.de/taxonomy?level=species&item=Magnetospirillum fulvum,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-116', 'https://bacdive.dsmz.de/strain/13951']"
Bacterium,Magnetospirillum fulvum DSM 117,https://mediadive.dsmz.de/strains/view/DSM 117,https://mediadive.dsmz.de/taxonomy?level=species&item=Magnetospirillum fulvum,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-117', 'https://bacdive.dsmz.de/strain/13952']"
Bacterium,Pararhodospirillum photometricum DSM 118,https://mediadive.dsmz.de/strains/view/DSM 118,https://mediadive.dsmz.de/taxonomy?level=species&item=Pararhodospirillum photometricum,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-118', 'https://bacdive.dsmz.de/strain/13954']"
Bacterium,Phaeospirillum sp. DSM 119,https://mediadive.dsmz.de/strains/view/DSM 119,https://mediadive.dsmz.de/taxonomy?level=species&item=Magnetospirillum sp.,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-119', 'https://bacdive.dsmz.de/strain/13955']"
Bacterium,Magnetospirillum molischianum DSM 120,https://mediadive.dsmz.de/strains/view/DSM 120,https://mediadive.dsmz.de/taxonomy?level=species&item=Magnetospirillum molischianum,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-120', 'https://bacdive.dsmz.de/strain/13956']"
Bacterium,Phaeospirillum sp. DSM 121,https://mediadive.dsmz.de/strains/view/DSM 121,https://mediadive.dsmz.de/taxonomy?level=species&item=Magnetospirillum sp.,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-121', 'https://bacdive.dsmz.de/strain/14003']"
Bacterium,Pararhodospirillum photometricum DSM 122,https://mediadive.dsmz.de/strains/view/DSM 122,https://mediadive.dsmz.de/taxonomy?level=species&item=Pararhodospirillum photometricum,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-122', 'https://bacdive.dsmz.de/strain/14004']"
Bacterium,Rhodopseudomonas pseudopalustris DSM 123,https://mediadive.dsmz.de/strains/view/DSM 123,https://mediadive.dsmz.de/taxonomy?level=species&item=Rhodopseudomonas pseudopalustris,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-123', 'https://bacdive.dsmz.de/strain/1828']"
Bacterium,Rhodopseudomonas palustris DSM 126,https://mediadive.dsmz.de/strains/view/DSM 126,,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-126', 'https://bacdive.dsmz.de/strain/169288']"
Bacterium,Rhodopseudomonas palustris DSM 127,https://mediadive.dsmz.de/strains/view/DSM 127,https://mediadive.dsmz.de/taxonomy?level=species&item=Rhodopseudomonas palustris,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-127', 'https://bacdive.dsmz.de/strain/1819']"
Bacterium,Rhodopseudomonas parapalustris DSM 130,https://mediadive.dsmz.de/strains/view/DSM 130,https://mediadive.dsmz.de/taxonomy?level=species&item=Rhodopseudomonas parapalustris,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-130', 'https://bacdive.dsmz.de/strain/1820']"
Bacterium,Rhodopseudomonas palustris DSM 131,https://mediadive.dsmz.de/strains/view/DSM 131,https://mediadive.dsmz.de/taxonomy?level=species&item=Rhodopseudomonas palustris,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-131', 'https://bacdive.dsmz.de/strain/1821']"
Bacterium,Blastochloris viridis DSM 133,https://mediadive.dsmz.de/strains/view/DSM 133,https://mediadive.dsmz.de/taxonomy?level=species&item=Blastochloris viridis,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-133', 'https://bacdive.dsmz.de/strain/6160']"
Bacterium,Blastochloris viridis DSM 134,https://mediadive.dsmz.de/strains/view/DSM 134,https://mediadive.dsmz.de/taxonomy?level=species&item=Blastochloris viridis,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-134', 'https://bacdive.dsmz.de/strain/6161']"
Bacterium,Blastochloris sulfoviridis DSM 136,https://mediadive.dsmz.de/strains/view/DSM 136,https://mediadive.dsmz.de/taxonomy?level=species&item=Blastochloris sulfoviridis,['27'],['https://mediadive.dsmz.de/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-136', 'https://bacdive.dsmz.de/strain/6162']"
Bacterium,Rhodoblastus acidophilus DSM 137,https://mediadive.dsmz.de/strains/view/DSM 137,https://mediadive.dsmz.de/taxonomy?level=species&item=Rhodoblastus acidophilus,['26'],['https://mediadive.dsmz.de/medium/26'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-137', 'https://bacdive.dsmz.de/strain/1798']"
Bacterium,Rhodoblastus acidophilus DSM 142,https://mediadive.dsmz.de/strains/view/DSM 142,https://mediadive.dsmz.de/taxonomy?level=species&item=Rhodoblastus acidophilus,['26'],['https://mediadive.dsmz.de/medium/26'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-142', 'https://bacdive.dsmz.de/strain/1799']"
