Organism Group,Name,Name Link,Taxonomy Link,Growth Media Links,External Links
Bacterium,Azotobacter vinelandii DSM 87,/strains/view/DSM 87,/taxonomy?level=species&item=Azotobacter vinelandii,"['/medium/3', '/medium/441']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-87', 'https://bacdive.dsmz.de/strain/12753']"
Bacterium,Azorhizophilus paspali DSM 88,/strains/view/DSM 88,/taxonomy?level=species&item=Azorhizophilus paspali,"['/medium/3', '/medium/441']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-88', 'https://bacdive.dsmz.de/strain/12708']"
Bacterium,Azomonas agilis DSM 89,/strains/view/DSM 89,/taxonomy?level=species&item=Azomonas agilis,"['/medium/3', '/medium/441']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-89', 'https://bacdive.dsmz.de/strain/12718']"
Bacterium,Priestia megaterium DSM 90,/strains/view/DSM 90,/taxonomy?level=species&item=Priestia megaterium,['/medium/1'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-90', 'https://bacdive.dsmz.de/strain/734']"
Bacterium,Metabacillus fastidiosus DSM 91,/strains/view/DSM 91,/taxonomy?level=species&item=Metabacillus fastidiosus,['/medium/6'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-91', 'https://bacdive.dsmz.de/strain/672']"
Bacterium,Clostridium formicaceticum DSM 92,/strains/view/DSM 92,/taxonomy?level=species&item=Clostridium formicaceticum,['/medium/14'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-92', 'https://bacdive.dsmz.de/strain/2587']"
Bacterium,Clostridium formicaceticum DSM 94,/strains/view/DSM 94,/taxonomy?level=species&item=Clostridium formicaceticum,['/medium/14'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-94', 'https://bacdive.dsmz.de/strain/2589']"
Bacterium,Clostridium formicaceticum DSM 95,/strains/view/DSM 95,/taxonomy?level=species&item=Clostridium formicaceticum,['/medium/14'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-95', 'https://bacdive.dsmz.de/strain/2590']"
Bacterium,Clostridium formicaceticum DSM 96,/strains/view/DSM 96,/taxonomy?level=species&item=Clostridium formicaceticum,['/medium/14'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-96', 'https://bacdive.dsmz.de/strain/2591']"
Bacterium,Clostridium formicaceticum DSM 97,/strains/view/DSM 97,/taxonomy?level=species&item=Clostridium formicaceticum,['/medium/14'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-97', 'https://bacdive.dsmz.de/strain/2592']"
Bacterium,Clostridium formicaceticum DSM 98,/strains/view/DSM 98,/taxonomy?level=species&item=Clostridium formicaceticum,['/medium/14'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-98', 'https://bacdive.dsmz.de/strain/2593']"
Bacterium,Clostridium formicaceticum DSM 99,/strains/view/DSM 99,/taxonomy?level=species&item=Clostridium formicaceticum,['/medium/14'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-99', 'https://bacdive.dsmz.de/strain/2594']"
Bacterium,Clostridium formicaceticum DSM 100,/strains/view/DSM 100,/taxonomy?level=species&item=Clostridium formicaceticum,['/medium/14'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-100', 'https://bacdive.dsmz.de/strain/2595']"
Bacterium,Ancylobacter aquaticus DSM 101,/strains/view/DSM 101,/taxonomy?level=species&item=Ancylobacter aquaticus,"['/medium/7', '/medium/J346', '/medium/J349']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-101', 'https://bacdive.dsmz.de/strain/17385']"
Bacterium,Spirosoma sp. DSM 102,/strains/view/DSM 102,/taxonomy?level=species&item=Spirosoma sp.,['/medium/7'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-102', 'https://bacdive.dsmz.de/strain/3821']"
Bacterium,Flectobacillus major DSM 103,/strains/view/DSM 103,/taxonomy?level=species&item=Flectobacillus major,['/medium/7'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-103', 'https://bacdive.dsmz.de/strain/3784']"
Bacterium,Rhodospirillum rubrum DSM 107,/strains/view/DSM 107,/taxonomy?level=species&item=Rhodospirillum rubrum,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-107', 'https://bacdive.dsmz.de/strain/14008']"
Bacterium,Rhodocyclus tenuis DSM 109,/strains/view/DSM 109,/taxonomy?level=species&item=Rhodocyclus tenuis,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-109', 'https://bacdive.dsmz.de/strain/13926']"
Bacterium,Rhodocyclus gracilis DSM 110,/strains/view/DSM 110,/taxonomy?level=species&item=Rhodocyclus gracilis,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-110', 'https://bacdive.dsmz.de/strain/13927']"
Bacterium,Rhodocyclus tenuis DSM 111,/strains/view/DSM 111,/taxonomy?level=species&item=Rhizobium aggregatum,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-111', 'https://bacdive.dsmz.de/strain/13928']"
Bacterium,Rhodocyclus tenuis DSM 112,/strains/view/DSM 112,/taxonomy?level=species&item=Pararhizobium capsulatum,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-112', 'https://bacdive.dsmz.de/strain/13929']"
Bacterium,Magnetospirillum fulvum DSM 113,/strains/view/DSM 113,/taxonomy?level=species&item=Magnetospirillum fulvum,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-113', 'https://bacdive.dsmz.de/strain/13948']"
Bacterium,Magnetospirillum fulvum DSM 114,/strains/view/DSM 114,/taxonomy?level=species&item=Magnetospirillum fulvum,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-114', 'https://bacdive.dsmz.de/strain/13949']"
Bacterium,Magnetospirillum fulvum DSM 115,/strains/view/DSM 115,/taxonomy?level=species&item=Magnetospirillum fulvum,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-115', 'https://bacdive.dsmz.de/strain/13950']"
Bacterium,Magnetospirillum fulvum DSM 116,/strains/view/DSM 116,/taxonomy?level=species&item=Magnetospirillum fulvum,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-116', 'https://bacdive.dsmz.de/strain/13951']"
Bacterium,Magnetospirillum fulvum DSM 117,/strains/view/DSM 117,/taxonomy?level=species&item=Magnetospirillum fulvum,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-117', 'https://bacdive.dsmz.de/strain/13952']"
